project,t1,t2,ratio
conder_assignment,JDBC,JPA,0.0
cloudbees_CloudBees-End-End-Tutorial,JDBC,JPA,0.0
mongodb_mongo-java-driver,JDBC,JPA,0.5
nikotsunami_osce,JDBC,JPA,0.16666667
wwadge_hbnpojogen,JDBC,JPA,0.0
picon-software_eoit,JDBC,JPA,0.0
CraftFire_AuthDB,JDBC,JPA,0.0
SpringSource_spring-data-book,JDBC,JPA,0.0
travis_cosmo,JDBC,JPA,0.0
ModeShape_modeshape,JDBC,JPA,0.0
tryggvil_eucalyptus,JDBC,JPA,0.0
wicketstuff_sandbox,JDBC,JPA,0.0
bobeal_capdemat,JDBC,JPA,0.0
salescube_SalesCube,JDBC,JPA,0.6605505
SpringSource_grails-data-mapping,JDBC,JPA,0.0
apache_tapestry-5,JDBC,JPA,0.0
ning_killbill,JDBC,JPA,0.1969697
Y3PP3R_AP2DX,JDBC,JPA,0.0
onesocialweb_osw-openfire-plugin,JDBC,JPA,0.0
dukeboard_kevoree-extra,JDBC,JPA,0.0
hornetq_hornetq,JDBC,JPA,0.0
FAP-Team_Fap-Module,JDBC,JPA,0.0
WISE-Community_WISE-Portal,JDBC,JPA,0.0
jamesward_S3-Blobs-module-for-Play,JDBC,JPA,0.0
gmazza_blog-samples,JDBC,JPA,0.0
gilesp_taskhelper,JDBC,JPA,0.0
TGAC_miso-lims,JDBC,JPA,0.0
sfilatov_secretary,JDBC,JPA,1.0
keesun_swagger-noxml-mvc,JDBC,JPA,0.0
powertac_powertac-tournament-scheduler,JDBC,JPA,0.22727273
untoldwind_soatools,JDBC,JPA,0.6
cheneyjuu_companys,JDBC,JPA,0.0
SpringSource_spring-insight-plugins,JDBC,JPA,0.0
vmware-serengeti_serengeti-ws,JDBC,JPA,0.0
USGS-CIDA_ncETL,JDBC,JPA,0.25
esfand_ddd-cqrs-sample,JDBC,JPA,0.5
platformlayer_platformlayer,JDBC,JPA,0.0
bnewport_Samples,JDBC,JPA,0.0
xebia_xke-ng,JDBC,JPA,0.0
droolsjbpm_drools-mas,JDBC,JPA,0.0
samolisov_samolisov-demo,JDBC,JPA,0.0
tharindum_opennms_dashboard,JDBC,JPA,0.0
biemond_jdev11gR2_examples,JDBC,JPA,0.5
OpenAttestation_OpenAttestation,JDBC,JPA,0.0
evanchooly_javabot,JDBC,JPA,0.0
jsfunit_jsfunit,JDBC,JPA,0.0
SomMeri_Standalone-JPA-Test-Demo,JDBC,JPA,0.0
Emergya_gofleet,JDBC,JPA,0.0
jbosstm_narayana,JDBC,JPA,0.0
