date,jpa-files,jdbc-files,hibernate-files,jpa-projects,jdbc-projects,hibernate-projects
2002-11,0,607,0,0,30,0
2002-12,0,594,0,0,30,0
2003-01,0,597,3,0,31,1
2003-02,0,641,3,0,32,1
2003-03,0,659,3,0,32,1
2003-04,0,655,3,0,33,1
2003-05,0,666,3,0,33,1
2003-06,0,679,3,0,33,1
2003-07,0,701,3,0,35,1
2003-08,0,716,3,0,35,1
2003-09,0,718,3,0,37,1
2003-10,0,690,3,0,39,1
2003-11,0,724,3,0,40,1
2003-12,0,748,3,0,40,1
2004-01,0,737,3,0,40,1
2004-02,0,697,3,0,41,1
2004-03,0,686,3,0,42,1
2004-04,0,770,3,0,44,1
2004-05,0,850,3,0,46,1
2004-06,0,911,3,0,46,1
2004-07,0,980,3,0,45,1
2004-08,0,1040,3,0,48,1
2004-09,0,1041,3,0,48,1
2004-10,0,1063,4,0,49,2
2004-11,0,1077,4,0,49,2
2004-12,0,1124,4,0,49,2
2005-01,0,1157,4,0,52,2
2005-02,0,1178,4,0,55,2
2005-03,0,1202,11,0,58,3
2005-04,0,1223,10,0,61,3
2005-05,0,1263,17,0,64,3
2005-06,0,1247,21,0,64,5
2005-07,0,1391,44,0,66,7
2005-08,0,1430,74,0,70,8
2005-09,6,1482,43,1,72,9
2005-10,6,1535,89,1,71,8
2005-11,6,1566,42,1,72,8
2005-12,6,1606,43,1,76,8
2006-01,6,1623,44,1,77,9
2006-02,6,1620,56,1,77,10
2006-03,11,1772,62,4,79,11
2006-04,11,1822,71,4,81,12
2006-05,15,1949,72,4,86,13
2006-06,29,2046,73,5,90,14
2006-07,37,2219,309,5,92,16
2006-08,44,2711,311,6,100,16
2006-09,90,2778,327,9,100,16
2006-10,124,2825,355,9,103,16
2006-11,141,2931,296,11,103,19
2006-12,197,3123,282,15,104,17
2007-01,201,3242,286,16,104,17
2007-02,268,3553,290,18,106,17
2007-03,363,3801,291,18,112,17
2007-04,384,3982,306,20,114,20
2007-05,400,4145,320,21,121,20
2007-06,441,4290,325,22,127,24
2007-07,454,4498,329,23,133,23
2007-08,473,4742,711,23,135,26
2007-09,565,4880,723,26,140,27
2007-10,568,4975,716,27,142,26
2007-11,792,5178,737,29,146,27
2007-12,841,5316,740,31,149,28
2008-01,938,5313,744,32,151,28
2008-02,964,5513,753,32,156,28
2008-03,1334,5576,774,34,159,32
2008-04,1617,5684,792,38,161,33
2008-05,1285,5667,801,41,169,34
2008-06,1293,5767,813,44,172,36
2008-07,1402,4937,805,46,173,38
2008-08,1456,5928,774,48,176,39
2008-09,1522,5975,797,45,184,40
2008-10,1605,6100,805,46,188,41
