project,t1,t2,duration,ratio,cumratio
apache_geronimo,JDBC,JPA,7,0.0,0.0
apache_geronimo,JDBC,JPA,8,0.0,0.0
apache_geronimo,JDBC,JPA,9,0.0,0.0
apache_geronimo,JDBC,JPA,10,0.0,0.0
apache_geronimo,JDBC,JPA,11,0.0,0.0
apache_geronimo,JDBC,JPA,12,0.0,0.0
apache_geronimo,JDBC,JPA,13,0.0,0.0
apache_geronimo,JDBC,JPA,14,0.0,0.0
apache_geronimo,JDBC,JPA,15,0.0,0.0
sanger-pathogens_GeneDB,JDBC,JPA,0,0.0,0.0
sanger-pathogens_GeneDB,JDBC,JPA,1,0.0,0.0
sanger-pathogens_GeneDB,JDBC,JPA,2,0.0,0.0
sanger-pathogens_GeneDB,JDBC,JPA,3,0.0,0.0
sanger-pathogens_GeneDB,JDBC,JPA,4,0.0,0.0
sanger-pathogens_GeneDB,JDBC,JPA,5,0.0,0.0
sanger-pathogens_GeneDB,JDBC,JPA,6,0.0,0.0
sanger-pathogens_GeneDB,JDBC,JPA,7,0.0,0.0
sanger-pathogens_GeneDB,JDBC,JPA,8,0.0,0.0
sanger-pathogens_GeneDB,JDBC,JPA,9,0.0,0.0
sanger-pathogens_GeneDB,JDBC,JPA,10,0.0,0.0
sanger-pathogens_GeneDB,JDBC,JPA,11,0.0,0.0
sanger-pathogens_GeneDB,JDBC,JPA,12,0.0,0.0
sanger-pathogens_GeneDB,JDBC,JPA,13,0.0,0.0
sanger-pathogens_GeneDB,JDBC,JPA,14,0.0,0.0
sanger-pathogens_GeneDB,JDBC,JPA,15,0.0,0.0
CPSC310W2012_Team-02,JDBC,JPA,0,0.0,0.0
CPSC310W2012_Team-02,JDBC,JPA,1,0.0,0.0
CPSC310W2012_Team-02,JDBC,JPA,2,0.0,0.0
CPSC310W2012_Team-02,JDBC,JPA,3,0.0,0.0
CPSC310W2012_Team-02,JDBC,JPA,4,0.0,0.0
CPSC310W2012_Team-02,JDBC,JPA,5,0.0,0.0
CPSC310W2012_Team-02,JDBC,JPA,6,0.0,0.0
CPSC310W2012_Team-02,JDBC,JPA,7,0.0,0.0
CPSC310W2012_Team-02,JDBC,JPA,8,0.0,0.0
CPSC310W2012_Team-02,JDBC,JPA,9,0.0,0.0
CPSC310W2012_Team-02,JDBC,JPA,10,0.0,0.0
CPSC310W2012_Team-02,JDBC,JPA,11,0.0,0.0
CPSC310W2012_Team-02,JDBC,JPA,12,0.0,0.0
CPSC310W2012_Team-02,JDBC,JPA,13,0.0,0.0
CPSC310W2012_Team-02,JDBC,JPA,14,0.0,0.0
CPSC310W2012_Team-02,JDBC,JPA,15,0.0,0.0
adempiere_extension_libero_manufacturing,JDBC,JPA,0,0.0,0.0
adempiere_extension_libero_manufacturing,JDBC,JPA,1,0.0,0.0
adempiere_extension_libero_manufacturing,JDBC,JPA,2,0.0,0.0
adempiere_extension_libero_manufacturing,JDBC,JPA,3,0.0,0.0
adempiere_extension_libero_manufacturing,JDBC,JPA,4,0.0,0.0
adempiere_extension_libero_manufacturing,JDBC,JPA,5,0.0,0.0
adempiere_extension_libero_manufacturing,JDBC,JPA,6,0.0,0.0
adempiere_extension_libero_manufacturing,JDBC,JPA,7,0.0,0.0
adempiere_extension_libero_manufacturing,JDBC,JPA,8,0.0,0.0
adempiere_extension_libero_manufacturing,JDBC,JPA,9,0.0,0.0
adempiere_extension_libero_manufacturing,JDBC,JPA,10,0.0,0.0
adempiere_extension_libero_manufacturing,JDBC,JPA,11,0.0,0.0
adempiere_extension_libero_manufacturing,JDBC,JPA,12,0.0,0.0
adempiere_extension_libero_manufacturing,JDBC,JPA,13,0.0,0.0
adempiere_extension_libero_manufacturing,JDBC,JPA,14,0.0,0.0
adempiere_extension_libero_manufacturing,JDBC,JPA,15,0.0,0.0
wolfc_jboss-jpa,JDBC,JPA,0,0.0,0.0
wolfc_jboss-jpa,JDBC,JPA,1,0.0,0.0
wolfc_jboss-jpa,JDBC,JPA,2,0.0,0.0
wolfc_jboss-jpa,JDBC,JPA,3,0.0,0.0
wolfc_jboss-jpa,JDBC,JPA,4,0.0,0.0
wolfc_jboss-jpa,JDBC,JPA,5,0.0,0.0
wolfc_jboss-jpa,JDBC,JPA,6,0.0,0.0
wolfc_jboss-jpa,JDBC,JPA,7,0.0,0.0
wolfc_jboss-jpa,JDBC,JPA,8,0.0,0.0
wolfc_jboss-jpa,JDBC,JPA,9,0.0,0.0
wolfc_jboss-jpa,JDBC,JPA,10,0.0,0.0
wolfc_jboss-jpa,JDBC,JPA,11,0.0,0.0
wolfc_jboss-jpa,JDBC,JPA,12,0.0,0.0
wolfc_jboss-jpa,JDBC,JPA,13,0.0,0.0
wolfc_jboss-jpa,JDBC,JPA,14,0.0,0.0
wolfc_jboss-jpa,JDBC,JPA,15,0.0,0.0
jbehave_jbehave-core,JDBC,JPA,0,0.0,0.0
jbehave_jbehave-core,JDBC,JPA,1,0.0,0.0
jbehave_jbehave-core,JDBC,JPA,2,0.0,0.0
jbehave_jbehave-core,JDBC,JPA,3,0.0,0.0
