project,step,entities,jpa-all,relative-jpa-all,jdbc-all,relative-jdbc-all,hbm-all,relative-hbm-all,jpa,relative-jpa,jdbc,relative-jdbc,hbm,relative-hbm,jpa-jdbc,relative-jpa-jdbc,jpa-hbm,relative-jpa-hbm,jdbc-hbm,relative-jdbc-hbm,jpa-jdbc-hbm,relative-jpa-jdbc-hbm
jpaoletti_java-presentation-manager,0.3,5,4,0.8,0,0.0,1,0.2,4,0.8,0,0.0,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0
jpaoletti_java-presentation-manager,0.4,7,5,0.71428573,0,0.0,2,0.2857143,5,0.71428573,0,0.0,2,0.2857143,0,0.0,0,0.0,0,0.0,0,0.0
jpaoletti_java-presentation-manager,0.5,7,5,0.71428573,0,0.0,2,0.2857143,5,0.71428573,0,0.0,2,0.2857143,0,0.0,0,0.0,0,0.0,0,0.0
jpaoletti_java-presentation-manager,0.6,7,5,0.71428573,0,0.0,2,0.2857143,5,0.71428573,0,0.0,2,0.2857143,0,0.0,0,0.0,0,0.0,0,0.0
jpaoletti_java-presentation-manager,0.7,7,5,0.71428573,0,0.0,2,0.2857143,5,0.71428573,0,0.0,2,0.2857143,0,0.0,0,0.0,0,0.0,0,0.0
jpaoletti_java-presentation-manager,0.8,7,5,0.71428573,0,0.0,2,0.2857143,5,0.71428573,0,0.0,2,0.2857143,0,0.0,0,0.0,0,0.0,0,0.0
jpaoletti_java-presentation-manager,0.9,7,5,0.71428573,0,0.0,2,0.2857143,5,0.71428573,0,0.0,2,0.2857143,0,0.0,0,0.0,0,0.0,0,0.0
jpaoletti_java-presentation-manager,1.0,7,5,0.71428573,0,0.0,2,0.2857143,5,0.71428573,0,0.0,2,0.2857143,0,0.0,0,0.0,0,0.0,0,0.0
ebayopensource_turmeric-releng,0.0,7,7,1.0,0,0.0,0,0.0,7,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ebayopensource_turmeric-releng,0.1,7,7,1.0,0,0.0,0,0.0,7,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ebayopensource_turmeric-releng,0.2,7,7,1.0,0,0.0,0,0.0,7,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ebayopensource_turmeric-releng,0.3,7,7,1.0,0,0.0,0,0.0,7,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ebayopensource_turmeric-releng,0.4,7,7,1.0,0,0.0,0,0.0,7,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ebayopensource_turmeric-releng,0.5,7,7,1.0,0,0.0,0,0.0,7,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ebayopensource_turmeric-releng,0.6,7,7,1.0,0,0.0,0,0.0,7,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ebayopensource_turmeric-releng,0.7,7,7,1.0,0,0.0,0,0.0,7,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ebayopensource_turmeric-releng,0.8,7,7,1.0,0,0.0,0,0.0,7,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ebayopensource_turmeric-releng,0.9,7,7,1.0,0,0.0,0,0.0,7,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ebayopensource_turmeric-releng,1.0,7,7,1.0,0,0.0,0,0.0,7,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
restsql_restsql,0.0,5,0,0.0,5,1.0,0,0.0,0,0.0,5,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
restsql_restsql,0.1,7,0,0.0,7,1.0,0,0.0,0,0.0,7,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
